watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price
Omega Seamaster Aqua Terra Steel Watch,M,OMEGA,steel,18.0,41.0,4600.0
Gucci Steel Watch (126.5),F,Gucci,steel,13.0,27.0,350.0
Cartier Claire Gold Watch,Both,Cartier,dark blue,19.0,35.0,8450.0
Breitling Superocean Heritage 2 Steel Watch (AB2010),M,BREITLING,steel,18.0,42.0,3400.0
Gucci Steel Watch (126.5),F,Gucci,steel,14.0,27.0,280.0
Breitling Avenger 2 GMT Steel Watch (A32390),M,BREITLING,brown,17.0,42.0,2600.0
Tudor Black Bay Steel Watch (79230),M,TUDOR,steel,17.0,41.0,3100.0
Breitling Super Avenger 2 Chrono Steel Watch (M22330),M,BREITLING,black,19.0,48.0,4300.0
Tag Heuer Carrera Steel Watch (WAR201E),M,Tagheuer,steel,16.0,40.0,1650.0
Cartier Ballon Bleu Moonphase Steel Watch,Both,Cartier,steel,16.0,37.0,7100.0
Breitling Superocean 2 Steel Watch (A17312),Both,BREITLING,black,19.0,35.0,2300.0
Omega Deville Diamond Steel Watch (424.13.27),F,OMEGA,black,17.0,27.0,2000.0
Gucci Gold Plated Watch (133.3),Both,Gucci,white,17.0,35.5,300.0
Blancpain Léman Moonphase Steel Watch (2360-1191A),F,Blancpain,other,14.0,33.0,8400.0
Tag Heuer Formula 1 Steel Watch (WAZ1110),M,Tagheuer,black,22.0,41.0,700.0
Cartier Santos Combi Watch,M,Cartier,yellow combination,17.0,33.0,8300.0
IWC Pilot Little Prince Chrono Steel Watch (IW377717),M,IWC,steel,17.0,43.0,5300.0
Tudor Black Bay Steel Watch (79730),M,TUDOR,steel,19.0,41.0,3100.0
Gucci Gold Plated PVC Watch (150.5),Both,Gucci,brown,18.0,32.5,430.0
Bulgari B.zero1 Steel Watch (BZ23SC),F,Bvlgari,steel,16.0,23.0,1100.0
Tag Heuer Aquaracer Steel Watch (WAY2010-0),M,Tagheuer,steel,17.0,44.0,1150.0
Gucci Steel Watch (126.4),Both,Gucci,black,21.0,38.0,420.0
IWC Pilot Chrono Steel Watch,M,IWC,black,21.0,43.0,3400.0
Rolex 10P Diamond Steel Watch (116234),Both,Rolex,steel,17.0,36.0,11600.0
Tag Heuer Carrera Chrono Steel Watch (CAR2A10-2),M,Tagheuer,steel,20.0,43.0,2450.0
Van Kleep & Arpels Charm Diamond Gold Watch (ARO29800),F,Van Cleef & Arpels,black,17.0,25.0,12600.0
Rolex 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,15.0,26.0,12900.0
Hermes Nantucket Diamond Steel Watch (NA2.231),F,Hermes,black,17.0,23.5,4300.0
Chanel Premier Steel Watch,F,Chanel,steel,16.0,23.0,2150.0
Cartier Ballon Bleu Combination Watch,M,Cartier,yellow combination,17.0,42.0,6050.0
Rolex 10P Diamond Combi Watch (179171),F,Rolex,pink combination,15.0,26.0,11300.0
Chanel Codecoco Diamond Steel Watch (H5144),F,Chanel,steel,15.0,29.5,2800.0
Rolex Steel Watch (278240),F,Rolex,steel,14.0,31.0,8700.0
Cartier Roadstar Steel Watch,M,Cartier,steel,18.0,37.0,1950.0
Rolex Combi Watch (126333),M,Rolex,yellow combination,17.0,41.0,19300.0
Longines Master Collection Chrono Steel Watch (L2.673.4),M,LONGINES,brown,20.0,40.0,1990.0
Bvlgari Quadrato Steel Watch (SQ29SSD),Both,Bvlgari,steel,17.0,29.0,900.0
Breitling Colt Steel Watch (A17388),M,BREITLING,steel,16.0,43.0,2650.0
TAG Heuer Link Chrono Steel Watch (CAT2010),M,Tagheuer,steel,16.0,43.0,1700.0
Hermes Kelly Steel Necklace Watch (KE1.210),,Hermes,other,17.0,20.0,600.0
Tag Heuer Formula 1 Chrono Steel Watch (CAZ1010),M,Tagheuer,steel,17.0,43.0,950.0
Tag Heuer Link Steel Watch (WJ1110-0),M,Tagheuer,steel,14.0,39.0,700.0
Breitling Galactic32 Steel Watch (A71356),F,BREITLING,black,16.0,32.0,1350.0
Gucci Gold Plated Watch (126.4),M,Gucci,black,17.0,38.0,600.0
Hermes Cape Cod Steel Watch (CD6.710),M,Hermes,black,19.0,43.0,2000.0
Piaget Possession diamond gold watch,F,Piaget,other,16.0,29.0,8500.0
Gucci Steel Watch (126.3),M,Gucci,steel,15.0,40.0,900.0
Cartier Ballon Bleu Steel Watch (W69016Z4),M,Cartier,black,20.0,42.0,4700.0
Tag Heuer Carrera Chrono Steel Watch (CAS2112),M,Tagheuer,steel,17.0,41.0,2200.0
Tag Heuer Aquaracer Chrono Steel Watch (CAY1110-0),M,Tagheuer,steel,16.0,44.0,1400.0
Cartier Santos Steel Watch,F,Cartier,steel,14.0,29.5,2400.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,other,15.0,25.5,2500.0
Cartier Ballon Bleu Steel Watch (W69012Z4),M,Cartier,steel,18.0,42.0,5400.0
Tag Heuer Aquaracer Diamond Steel Watch (WBD1414),F,Tagheuer,steel,13.0,28.0,1000.0
Cartier Benoit Diamond Gold Watch,F,Cartier,other,16.0,22.0,13500.0
Cartier Love Gold Diamond Watch,F,Cartier,black,16.0,23.0,6500.0
Chronoswiss Regulator Steel Watch (CH1223M),Both,CHRONOSWISS,green,18.0,35.0,3200.0
Cartier Tank Must Steel Watch (WSTA0056),F,Cartier,green,18.0,30.0,5200.0
Oris Artelier Steel Watch (7582),M,Oris,steel,17.0,40.0,900.0
Rolex Oyster Perpetual Steel Watch (76030),F,Rolex,steel,14.0,25.0,3100.0
Frederique Constant Slimline Moonphase Diamond Steel Watch (FC-206MPWD1S6),F,Frederique Constant,blue,16.0,30.0,650.0
Rolex Seedweller Steel Watch (16600),M,Rolex,steel,19.0,40.0,10000.0
Cartier American Tank Watch,F,Cartier,black,14.0,23.0,3900.0
Rolex Combi Diamond Watch (126233),M,Rolex,yellow combination,17.0,36.0,19300.0
Rolex Gold Diamond Watch (179179),F,Rolex,other,13.0,26.0,16800.0
Rolex Gold Diamond Watch (179175),F,Rolex,other,15.0,26.0,19500.0
Rolex Gold Watch (179178),F,Rolex,other,15.0,26.0,15500.0
Breitling Navitimer Chrono Watch (A41322),M,BREITLING,steel,19.0,42.0,4100.0
TAG Heuer Carrera Chrono Watch (CAR2112-1),M,Tagheuer,dark blue,17.0,41.0,2150.0
Bvlgari Lucea watch (LU28S),F,Bvlgari,other,16.0,28.0,1750.0
Rolex Date Steel Watch (6917),F,Rolex,steel,13.0,26.0,2750.0
Piaget New Polo Gold Diamond Watch,F,Piaget,steel,15.0,28.0,8200.0
Montblanc Bohème Diamond Watch,Both,MontBlanc,black,18.0,34.0,1950.0
Gucci Steel Watch (1900L),F,Gucci,steel,15.0,23.0,180.0
Omega Seamaster Aqua Terra Combi Watch (220.23.41),M,OMEGA,brown,20.0,41.0,5500.0
Gucci Gold Plated Combi Watch (9000L),F,Gucci,other,17.0,25.0,205.0
Cartier 21st Century Chrono Steel Watch,Both,Cartier,other,17.0,35.0,1300.0
Rolex Yachtmaster Combi Watch (169623),F,Rolex,yellow combination,14.0,29.0,8300.0
Vacheron Constantin Diamond Gold Watch,M,Vacheron constantin,other,17.0,3.0,25400.0
Vacheron Constantin Diamond Gold Watch,F,Vacheron constantin,other,15.0,3.0,12400.0
Rolex Datejust Combi Watch (179173),F,Rolex,yellow combination,15.0,26.0,9400.0
Chanel J12 Diamond Ceramic Watch,F,Chanel,white,14.0,34.0,4700.0
Harry Winston Midnight Diamond Gold Watch (MIDQHM39WW002),Both,HarryWinston,other,18.0,39.0,14000.0
Rolex Combi Watch (126331),M,Rolex,pink combination,18.0,41.0,18000.0
Rolex Combi Diamond Watch (116233),M,Rolex,yellow combination,16.0,36.0,11500.0
Blancpain Fifty Fathoms Body Scarf Watch,M,Blancpain,navy,16.0,38.0,7800.0
Cartier Ballon Bleu Gold Watch,F,Cartier,other,18.0,32.0,8500.0
IWC Portuguese Chrono Gold Watch,M,IWC,black,21.0,41.0,9600.0
Rolex Diamond Steel Watch (178344),F,Rolex,steel,15.0,3.0,10600.0
Rolex Datejust Combination Watch (179173),F,Rolex,yellow combination,15.0,26.0,10400.0
Rolex Submariner Steel Watch (116610),M,Rolex,steel,15.0,40.0,15600.0
Rolex Datejust 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,14.0,26.0,12100.0
Rolex Datejust 10P Diamond Combi Watch (178273),F,Rolex,yellow combination,16.0,31.0,13000.0
Rolex Submariner Steel Watch (116610LV),M,Rolex,steel,18.0,40.0,29800.0
Cartier Claire Steel Watch (WSCL0006),Both,Cartier,steel,16.0,36.0,3100.0
Omega Seamaster Diver 300M 007 Edition Titanium Watch (210.90.42),M,OMEGA,other,19.0,42.0,8000.0
Rolex Day Date Diamond Gold Watch (228348),M,Rolex,yellow gold,17.0,40.0,72000.0
Rolex Day Date Diamond Gold Watch (228235),M,Rolex,other,17.0,40.0,62500.0
Omega Speedmaster Moonwatch Chrono Steel Watch (310.30.42),M,OMEGA,steel,17.0,42.0,6800.0
Rolex Datejust Diamond Combi Watch (126231),M,Rolex,pink combination,17.0,36.0,18900.0
Rolex Combi Watch (279171),F,Rolex,pink combination,16.0,28.0,14200.0
Cartier Tank Diamond Gold Watch,F,Cartier,other,15.0,10.0,10800.0
Rolex Day Date Diamond Gold Watch (228348),M,Rolex,yellow gold,18.0,40.0,71000.0
Rolex Datejust Steel Watch (126334),M,Rolex,steel,18.0,40.0,15100.0
Rolex Seedweller Deepsea Steel Watch (116660),M,Rolex,steel,17.0,4.0,19500.0
Rolex Datejust 10P Diamond Steel Watch (279174),F,Rolex,steel,13.0,28.0,11400.0
Rolex Seedweller Deepsea Steel Watch (116660),M,Rolex,steel,16.0,44.0,12100.0
Cartier diamond gold watch,F,Cartier,other,17.0,32.0,44500.0
Cartier Ballon Bleu Steel Diamond Watch (Medium),Both,Cartier,steel,15.0,33.0,9500.0
Cartier Tank Francaise Steel Watch,F,Cartier,steel,15.0,27.5,2180.0
IWC Portuguese 7DAYS Watch (IW500107),M,IWC,black,19.0,42.0,7900.0
Cartier Claire combination watch,F,Cartier,pink combination,15.0,31.0,5200.0
Breitling Navitimer Chrono Watch (AB1107),M,BREITLING,dark blue,19.0,43.0,5600.0
Hermes Cape Cod Gold Diamond Watch,F,Hermes,black,16.0,23.0,5800.0
Breitling Galatic Unitime Steel Watch (WB3510),M,BREITLING,steel,19.0,44.0,3600.0
Cartier Claire Steel Watch,F,Cartier,steel,14.0,33.0,3600.0
Piaget Dancer Gold Diamond Watch,F,Piaget,other,16.0,31.0,8700.0
Gucci Steel Diamond Watch (125.5),F,Gucci,steel,15.0,23.0,290.0
IWC Big Pilot Watch (IW500401),M,IWC,black,18.0,46.0,7900.0
IWC Pilot Little Prince Chrono Watch (IW377714),M,IWC,black,18.0,43.0,4700.0
Hermes H Hour Watch (HH1.801),Both,Hermes,other,18.0,30.0,2250.0
Hermes H Hour Watch (HH1.210),F,Hermes,white,15.0,21.0,1750.0
Breitling Bentley Barnetto Steel Watch (A25366),M,BREITLING,steel,18.0,47.0,6000.0
TAG Heuer Formula 1 Watch (CAH1012),M,Tagheuer,black,18.0,44.0,520.0
Rolex Gold Diamond Watch (279135RBR),F,Rolex,other,15.0,28.0,43000.0
Chanel J12 Chromatic Watch (H2978),F,Chanel,other,15.0,34.0,2950.0
Tiffany Square Diamond Watch,F,Tiffany,other,17.0,22.0,1350.0
Tag Heuer Aquaracer Bamford Titanium Watch (WAY208F),M,Tagheuer,other,17.0,43.0,3800.0
TAG Heuer Carrera Steel Chrono Watch (CAR2013),M,Tagheuer,steel,17.0,43.0,2350.0
Ferragamo diamond watch,F,Ferragamo,black,16.0,29.5,290.0
Montblanc Timewalker Chrono Watch,M,MontBlanc,black,17.0,44.0,1800.0
Montblanc Tradition Steel Watch,M,MontBlanc,steel,17.0,40.0,1300.0
Tag Heuer Link Steel Watch (WBC2112),M,Tagheuer,steel,19.0,40.0,1750.0
Cartier Ballon Bleu Steel Watch (Large),M,Cartier,steel,19.0,42.0,4900.0
Cartier Ballon Bleu Combi Watch (Small),F,Cartier,yellow combination,16.0,28.0,5400.0
